entity_id	total_population	male	female
LG-61019	124225.0	59466.0	64759.0
LG-61020	56279.0	26973.0	29306.0
LG-61021	63667.0	30951.0	32716.0
LG-62001	117498.0	58168.0	59330.0
LG-62002	17460.0	8631.0	8829.0
LG-62003	23440.0	11770.0	11670.0
LG-62004	14483.0	7131.0	7352.0
LG-62005	52775.0	25481.0	27294.0
LG-62006	45511.0	21980.0	23531.0
LG-62007	61900.0	29617.0	32283.0
LG-62008	75161.0	36545.0	38616.0
LG-62009	23078.0	10934.0	12144.0
LG-62010	87357.0	42245.0	45112.0
LG-62011	113223.0	54021.0	59202.0
LG-62012	130510.0	62448.0	68062.0
LG-71001	22998.0	11353.0	11645.0
LG-71002	22325.0	11098.0	11227.0
LG-71003	46906.0	22583.0	24323.0
LG-71004	66596.0	33004.0	33592.0
LG-71005	66116.0	32311.0	33805.0
LG-71006	36782.0	17887.0	18895.0
LG-71007	40339.0	19398.0	20941.0
LG-71008	36990.0	18251.0	18739.0
LG-71009	46992.0	23019.0	23973.0
LG-71010	31699.0	14995.0	16704.0
LG-71011	45533.0	22216.0	23317.0
LG-71012	31197.0	15338.0	15859.0
LG-71013	49886.0	24480.0	25406.0
LG-71014	33543.0	16265.0	17278.0
LG-71015	92260.0	45184.0	47076.0
LG-71016	42726.0	20583.0	22143.0
LG-71017	74823.0	36998.0	37825.0
LG-71018	38862.0	18517.0	20345.0
LG-71019	34002.0	16620.0	17382.0
LG-72001	64289.0	31574.0	32715.0
LG-72002	65575.0	32172.0	33403.0
LG-72003	36452.0	17621.0	18831.0
LG-72004	33770.0	17285.0	16485.0
LG-72005	79661.0	39903.0	39758.0
LG-72006	48722.0	23809.0	24913.0
LG-72007	33704.0	16824.0	16880.0
LG-72008	43915.0	21592.0	22323.0
LG-81001	75776.0	37276.0	38500.0
LG-81002	51618.0	25163.0	26455.0
LG-81003	19719.0	9531.0	10188.0
LG-81004	23075.0	11188.0	11887.0
LG-81005	22571.0	10695.0	11876.0
LG-81006	48807.0	23035.0	25772.0
LG-81007	31381.0	14731.0	16650.0
LG-81008	42237.0	19809.0	22428.0
LG-81009	32805.0	15370.0	17435.0
LG-81010	90571.0	42925.0	47646.0
LG-81011	77998.0	37722.0	40276.0
LG-81012	100808.0	49010.0	51798.0
LG-81013	31340.0	14913.0	16427.0
LG-81014	36641.0	17408.0	19233.0
LG-81015	42702.0	20751.0	21951.0
LG-81016	41205.0	20144.0	21061.0
LG-81017	8593.0	4155.0	4438.0
LG-81018	37558.0	18122.0	19436.0
LG-82001	40329.0	19325.0	21004.0
LG-82002	31238.0	15231.0	16007.0
LG-82003	35881.0	17338.0	18543.0
LG-82004	54040.0	27179.0	26861.0
LG-82005	49520.0	24857.0	24663.0
LG-82006	40103.0	19409.0	20694.0
LG-82007	60060.0	30005.0	30055.0
LG-82008	53084.0	26730.0	26354.0
LG-82009	18220.0	9583.0	8637.0
LG-82010	68583.0	34511.0	34072.0
LG-91001	70839.0	34795.0	36044.0
LG-91002	128259.0	63696.0	64563.0
LG-91003	66801.0	33110.0	33691.0
LG-91004	53411.0	25929.0	27482.0
LG-91005	56260.0	27188.0	29072.0
LG-91006	33938.0	16246.0	17692.0
LG-91007	50842.0	25017.0	25825.0
LG-91008	57570.0	28510.0	29060.0
LG-91009	89469.0	44351.0	45118.0
LG-91010	97983.0	48806.0	49177.0
LG-91011	30894.0	15500.0	15394.0
LG-91012	51307.0	25607.0	25700.0
LG-91013	43298.0	21289.0	22009.0
LG-91014	76469.0	37296.0	39173.0
LG-91015	98001.0	48175.0	49826.0
LG-91016	36712.0	18089.0	18623.0
LG-91017	45954.0	22797.0	23157.0
LG-92001	82769.0	38929.0	43840.0
LG-92002	111727.0	52665.0	59062.0
LG-92003	67679.0	31769.0	35910.0
LG-92004	75646.0	35904.0	39742.0
LG-92005	15993.0	7617.0	8376.0
LG-92006	74490.0	35581.0	38909.0
LG-92007	113056.0	54179.0	58877.0
